school,lat,lng,PPG,APG,RPG,SPG,BPG,TPG,FGP,3PG
Alabama,33.2140233,-87.5391418,13.31,1.94,4.57,0.65,0.26,1.73,0.46,0.38
Arizona,32.2318851,-110.9501094,10.22,2.4,5.13,0.89,0.46,1.44,0.45,0.29
Arizona State,33.4532165,-112.0719833,25.16,6.31,5.34,1.58,0.53,3.7,0.44,0.36
Arkansas,36.0686895,-94.1748471,10.21,1.21,5.94,0.5,0.3,1.08,0.46,0.36
Baylor,31.5488923,-97.1130573,7.32,1.43,3.61,0.61,0.29,1.11,0.47,0.31
Boise State,43.6028311,-116.201767,6.21,0.83,4.07,0.69,0.18,0.72,0.46,0.3
Boston College,42.3355488,-71.1684945,8.25,2.35,2.63,0.63,0.17,1.14,0.42,0.35
Bowling Green,41.3797788,-83.6300826,8.4,0.94,4.99,0.61,0.96,0.8,0.58,0.26
Bucknell,40.9547722,-76.8850759,5.6,0.93,3.14,0.35,0.49,0.63,0.46,0.37
Butler,39.8405491,-86.1708927,15.31,3.46,4.4,0.98,0.41,1.97,0.45,0.37
Cal State-Long Beach,33.7838235,-118.1140904,6.5,0.89,3.25,0.61,0.3,0.76,0.46,0.35
California,40.063294,-79.8824041,13.1,1.42,4.46,0.86,0.34,1.49,0.47,0.37
Cincinnati,39.1329219,-84.5149504,2.85,0.92,1.12,0.27,0.25,0.61,0.34,0.32
College of Charleston,32.7834441,-79.9370018,2.67,1.22,2.22,0.33,0.56,0.78,0.36,0.23
Colorado,40.007581,-105.2659417,9.38,2.77,3.31,0.74,0.46,1.23,0.44,0.33
Connecticut,41.8077414,-72.2539805,13.8,2.59,5.84,1.09,0.64,1.7,0.45,0.31
Creighton,41.2655521,-95.9463862,5.63,0.87,2.07,0.37,0.17,0.54,0.4,0.34
Davidson,35.5008018,-80.8446725,23.49,6.61,4.52,1.72,0.22,3.12,0.48,0.44
DePaul,41.9247836,-87.6566548,12.52,1.78,5.29,0.7,0.61,1.38,0.44,0.34
Duke,36.0014258,-78.9382286,11.33,2.11,3.95,0.71,0.38,1.43,0.46,0.32
Florida,29.6436325,-82.3549302,9.85,1.98,5.12,0.76,0.55,1.26,0.43,0.23
Florida State,30.4418778,-84.2984889,5.75,0.9,2.4,0.48,0.4,0.59,0.44,0.37
Fresno State,36.8133631,-119.7460947,11.19,2.2,3.75,1.01,0.33,1.34,0.42,0.36
George Washington,38.8997145,-77.0485992,2.27,0.39,1.55,0.27,0.06,0.24,0.35,0.21
Georgetown,38.9076089,-77.0722585,11.99,1.53,4.67,0.95,0.49,1.15,0.46,0.37
Georgia,33.9480053,-83.3773221,7.99,1.35,3.05,0.59,0.36,0.8,0.49,0.25
Georgia Institute of Technology,33.7756178,-84.396285,8.11,1.4,3.57,1.15,0.43,1.1,0.4,0.27
Georgia Tech,33.7756178,-84.396285,12.28,1.41,6.66,1.12,0.83,1.42,0.51,0.27
